Rank,Track,Artist,Streams,year,Album_Name,Duration_MS,Explicit,Track_Number_on_Album,Artist_Followers
1,rockstar,Post Malone,30769464,2018,rockstar,218320,TRUE,1,32192178
2,Havana,Camila Cabello,26213719,2018,Havana,216896,FALSE,1,21110469
3,New Rules,Dua Lipa,22842546,2018,Dua Lipa (Deluxe),209320,FALSE,10,24169380
4,River (feat. Ed Sheeran),Eminem,22115164,2018,Revival,221013,TRUE,5,43728461
5,Wolves,Selena Gomez,20800608,2018,Wolves,197993,FALSE,1,26725031
6,Perfect,Ed Sheeran,18357808,2018,÷ (Deluxe),263400,FALSE,5,78967872
7,Échame La Culpa,Luis Fonsi,18074719,2018,Échame La Culpa,173720,FALSE,1,9350913
8,Shape of You,Ed Sheeran,17570858,2018,÷ (Deluxe),233712,FALSE,4,78967872
9,What Lovers Do (feat. SZA),Maroon 5,17477163,2018,Red Pill Blues (Deluxe),199849,FALSE,2,30323494
10,Him & I (with Halsey),G-Eazy,17462783,2018,The Beautiful & Damned,268866,TRUE,3,4818368
11,Let You Down,NF,17282065,2018,Perception,212120,FALSE,6,5321531
12,Gucci Gang,Lil Pump,15921790,2018,Lil Pump,124055,TRUE,2,7636298
13,Too Good At Goodbyes,Sam Smith,15502779,2018,The Thrill Of It All (Special Edition),201000,FALSE,1,16161094
14,Silence,Marshmello,15112294,2018,Silence,180822,FALSE,1,30270515
15,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,14996086,2018,Perfect Duet (Ed Sheeran & Beyoncé),259550,FALSE,1,78967872
16,I Fall Apart,Post Malone,14395657,2018,Stoney (Deluxe),223346,TRUE,7,32192178
17,Corazón,Maluma,13600157,2018,Corazón,184066,FALSE,1,25103199
18,Dusk Till Dawn - Radio Edit,ZAYN,12978460,2018,Dusk Till Dawn (Radio Edit),239000,FALSE,1,15423979
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,12977633,2018,"Let Me Go (with Alesso, Florida Georgia Line & watt)",174800,FALSE,1,6691684
20,No Limit,G-Eazy,12557918,2018,The Beautiful & Damned,245386,TRUE,7,4818368
21,Downtown,Anitta,12243044,2018,Downtown,193456,FALSE,1,10449455
22,Criminal,Natti Natasha,12012034,2018,Criminal,232549,FALSE,1,5811247
23,Young Dumb & Broke,Khalid,11926151,2018,American Teen,202546,FALSE,2,13736355
24,Thunder,Imagine Dragons,11665009,2018,Evolve,187146,FALSE,9,33692509
25,Sensualidad,Bad Bunny,11626025,2018,Sensualidad,297485,FALSE,1,32304467
26,Mi Gente,J Balvin,11451420,2018,Mi Gente,189440,FALSE,1,27317844
27,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,11337902,2018,All Your Fault: Pt. 2,163870,FALSE,6,6304238
28,Bartier Cardi (feat. 21 Savage),Cardi B,11285907,2018,Bartier Cardi (feat. 21 Savage),224613,TRUE,1,15813726
29,Despacito - Remix,Luis Fonsi,11169945,2018,Despacito Feat. Justin Bieber (Remix),228826,FALSE,1,9350913
30,XO Tour Llif3,Lil Uzi Vert,11110774,2018,Luv Is Rage 2,182706,TRUE,16,11220496
31,How Long,Charlie Puth,11011585,2018,How Long,198237,FALSE,1,12860533
32,Feel It Still,Portugal. The Man,10920312,2018,Woodstock,163253,FALSE,4,1217767
33,I Miss You (feat. Julia Michaels),Clean Bandit,10694252,2018,I Miss You (feat. Julia Michaels),205747,FALSE,1,4296325
34,Unforgettable,French Montana,10572262,2018,Jungle Rules,233901,TRUE,2,3903377
35,1-800-273-8255,Logic,10215136,2018,Everybody,250173,TRUE,10,5304761
36,Candy Paint,Post Malone,10164294,2018,Candy Paint,229573,TRUE,1,32192178
37,Me Rehúso,Danny Ocean,10109248,2018,Me Rehúso,205714,FALSE,1,2906567
38,Se Preparó,Ozuna,10079450,2018,Odisea,188080,FALSE,3,27797552
39,Congratulations,Post Malone,10019761,2018,Stoney (Deluxe),220293,TRUE,12,32192178
40,Stargazing,Kygo,9792452,2018,Stargazing - EP,236853,FALSE,1,7372033
41,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,9677603,2018,Déjala Que Vuelva (feat. Manuel Turizo),220116,FALSE,1,6865509
42,Mayores,Becky G,9523877,2018,Mayores,202453,FALSE,1,10032313
43,Man's Not Hot,Big Shaq,9408776,2018,Man's Not Hot,186026,FALSE,1,318865
44,HUMBLE.,Kendrick Lamar,9374115,2018,DAMN.,177000,TRUE,8,17080939
45,Ric Flair Drip (& Metro Boomin),Offset,9282390,2018,Without Warning,172800,TRUE,3,2010264
46,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,9186447,2018,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),201532,FALSE,1,10449455
47,Something Just Like This,The Chainsmokers,9034798,2018,Memories...Do Not Open,247160,FALSE,5,17742887
48,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,8711976,2018,So Far Away (feat. Jamie Scott & Romy Dya),183636,FALSE,1,14595128
49,Never Be the Same,Camila Cabello,8588867,2018,Never Be the Same,227087,FALSE,1,21110469
50,Bank Account,21 Savage,8575541,2018,Issa Album,220306,TRUE,1,9486493
51,Attention,Charlie Puth,8474396,2018,Attention,211475,FALSE,1,12860533
52,Anywhere,Rita Ora,8222440,2018,Anywhere,215064,FALSE,1,6545869
53,More Than You Know,Axwell /\ Ingrosso,7994741,2018,More Than You Know,203000,FALSE,1,2282314
54,Havana - Remix,Camila Cabello,7771750,2018,Havana (Remix),199095,FALSE,1,21110469
55,Sorry Not Sorry,Demi Lovato,7696064,2018,Tell Me You Love Me (Deluxe),203760,TRUE,1,19560892
56,Lonely Together (feat. Rita Ora),Avicii,7670636,2018,AVĪCI (01),181812,FALSE,2,19551600
57,Perro Fiel (feat. Nicky Jam),Shakira,7597732,2018,El Dorado,195213,FALSE,6,21467047
58,All Falls Down (feat. Juliander),Alan Walker,7499091,2018,All Falls Down (feat. Juliander),199111,FALSE,1,28057563
59,Believer,Imagine Dragons,7271716,2018,Evolve,204346,FALSE,3,33692509
60,I Like Me Better,Lauv,7238310,2018,I Like Me Better,197436,FALSE,1,4160159
61,Tip Toe (feat. French Montana),Jason Derulo,7200977,2018,Tip Toe (feat. French Montana),187521,FALSE,1,9235751
62,Que Va,Alex Sensation,7088995,2018,Que Va,238160,FALSE,1,127854
63,MotorSport,Migos,7085441,2018,MotorSport,307660,TRUE,1,11354618
64,Bodak Yellow,Cardi B,7034863,2018,Bodak Yellow,223962,TRUE,1,15813726
65,There's Nothing Holdin' Me Back,Shawn Mendes,6929306,2018,Illuminate (Deluxe),199440,FALSE,1,32473361
66,Codeine Dreaming (feat. Lil Wayne),Kodak Black,6857634,2018,Project Baby 2: All Grown Up (Deluxe Edition),264531,TRUE,20,6924083
67,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,6853150,2018,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",202804,FALSE,1,3378485
68,Báilame - Remix,Nacho,6751639,2018,Báilame (Remix),217080,FALSE,1,3256890
69,Felices los 4,Maluma,6738010,2018,Felices los 4,229848,FALSE,1,25103199
70,Symphony (feat. Zara Larsson),Clean Bandit,6665747,2018,Symphony (feat. Zara Larsson),212459,FALSE,1,4296325
71,Bum Bum Tam Tam,MC Fioti,6664769,2018,Bum Bum Tam Tam,213988,TRUE,1,1397560
72,Closer,The Chainsmokers,6656029,2018,Closer,244960,FALSE,1,17742887
73,Friends (with BloodPop®),Justin Bieber,6620450,2018,Friends (with BloodPop®),189466,FALSE,1,44672226
74,PICK IT UP (feat. A$AP Rocky),Famous Dex,6429729,2018,Pick It Up (feat. A$AP Rocky),191251,TRUE,1,2182005
75,Plain Jane,A$AP Ferg,6393108,2018,Still Striving,173600,TRUE,8,2923337
76,Escápate Conmigo (feat. Ozuna),Wisin,6372956,2018,Victory,232786,FALSE,13,6599736
77,Suena El Dembow,Joey Montana,6289780,2018,Suena El Dembow,195813,FALSE,1,2195951
78,Tell Me You Love Me,Demi Lovato,6288296,2018,Tell Me You Love Me,236986,FALSE,2,19560892
79,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,6261548,2018,Grateful,288600,TRUE,4,5945756
80,Despacito (Featuring Daddy Yankee),Luis Fonsi,6230684,2018,Despacito (Featuring Daddy Yankee),228200,FALSE,1,9350913
81,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,6205486,2018,Funk Wav Bounces Vol.1,223413,TRUE,8,21571054
82,LOVE. FEAT. ZACARI.,Kendrick Lamar,6190848,2018,DAMN.,213400,TRUE,10,17080939
83,Strip That Down,Liam Payne,6174585,2018,Strip That Down,204502,FALSE,1,7560792
84,One Dance,Drake,6137340,2018,Views,173986,FALSE,12,54405324
85,Jocelyn Flores,XXXTENTACION,6137178,2018,17,119133,TRUE,2,26792113
86,Robarte un Beso,Carlos Vives,6052497,2018,VIVES,194742,FALSE,13,4351648
87,Say You Won't Let Go,James Arthur,6026012,2018,Back from the Edge,211466,FALSE,2,7893527
88,Galway Girl,Ed Sheeran,6024090,2018,÷ (Deluxe),170826,FALSE,6,78967872
89,Bad At Love,Halsey,5999503,2018,hopeless fountain kingdom (Deluxe),181279,FALSE,11,14646339
90,goosebumps,Travis Scott,5983422,2018,Birds In The Trap Sing McKnight,243836,TRUE,9,16143636
91,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,5969539,2018,Grateful,204173,TRUE,3,5945756
92,Betrayed,Lil Xan,5943900,2018,Betrayed,187453,TRUE,1,2154016
93,Sky Walker (feat. Travis Scott),Miguel,5834794,2018,War & Leisure,259333,TRUE,3,3370258
94,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,5818022,2018,MIC Drop (feat. Desiigner) [Steve Aoki Remix],238726,FALSE,1,31673242
95,It Ain't Me (with Selena Gomez),Kygo,5793719,2018,It Ain't Me (with Selena Gomez),220780,FALSE,1,7372033
96,BUTTERFLY EFFECT,Travis Scott,5776028,2018,BUTTERFLY EFFECT,190677,FALSE,1,16143636
97,That's What I Like,Bruno Mars,5733866,2018,24K Magic,206693,FALSE,4,29942000
98,Glorious (feat. Skylar Grey),Macklemore,5677606,2018,GEMINI,220454,TRUE,2,1712424
